,Paper_title,URL,Review_scores,Average,Rank
0,Variance-Aware Machine Translation Test Sets,https://openreview.net/forum?id=hhKA5k0oVy5,"[7, 8, 8]",7.666666666666667,1
1,The PAIR-R24M Dataset for Multi-animal 3D Pose Estimation,https://openreview.net/forum?id=-wVVl_UPr8,"[7, 7, 6]",6.666666666666667,2
2,HiRID-ICU-Benchmark --- A Comprehensive Machine Learning Benchmark on High-resolution ICU Data,https://openreview.net/forum?id=SnC9rUeqiqd,"[6, 8, 7]",7.0,3
3,MiniHack the Planet: A Sandbox for Open-Ended Reinforcement Learning Research,https://openreview.net/forum?id=skFwlyefkWJ,"[6, 7, 7]",6.666666666666667,4
4,PASS: An ImageNet replacement for self-supervised pretraining without humans,https://openreview.net/forum?id=BwzYI-KaHdr,"[6, 6, 10]",7.333333333333333,5
5,Towards a robust experimental framework and benchmark for lifelong language learning,https://openreview.net/forum?id=yJyIjWyPJgs,"[7, 6, 6]",6.333333333333333,6
6,Pervasive Label Errors in Test Sets Destabilize Machine Learning Benchmarks,https://openreview.net/forum?id=XccDXrDNLek,"[7, 10, 8]",8.333333333333334,7
7,DABS: a Domain-Agnostic Benchmark for Self-Supervised Learning,https://openreview.net/forum?id=Uk2mymgn_LZ,"[6, 7, 7, 6]",6.5,8
8,Empirical Study of Off-Policy Policy Evaluation for Reinforcement Learning,https://openreview.net/forum?id=IsK8iKbL-I,"[7, 7, 6]",6.666666666666667,9
9,Benchmark for Compositional Text-to-Image Synthesis,https://openreview.net/forum?id=bKBhQhPeKaF,"[7, 6, 6]",6.333333333333333,10
10,Benchmarking Multi-Agent Deep Reinforcement Learning Algorithms in Cooperative Tasks,https://openreview.net/forum?id=cIrPX-Sn5n,"[7, 8, 8, 7, 5]",7.0,11
11,"RedCaps: Web-curated image-text data created by the people, for the people",https://openreview.net/forum?id=VjJxBi1p9zh,"[8, 7, 5]",6.666666666666667,12
12,Generating Datasets of 3D Garments with Sewing Patterns,https://openreview.net/forum?id=Pq8FBz0gZHY,"[7, 6, 7]",6.666666666666667,13
13,Programming Puzzles,https://openreview.net/forum?id=fe_hCc4RBrg,"[8, 8, 8]",8.0,14
14,The Multi-Agent Behavior Dataset: Mouse Dyadic Social Interactions,https://openreview.net/forum?id=NevK78-K4bZ,"[7, 6, 8]",7.0,15
15,CrowdSpeech and Vox DIY: Benchmark Dataset for Crowdsourced Audio Transcription,https://openreview.net/forum?id=3_hgF1NAXU7,"[6, 7, 7]",6.666666666666667,16
16,Brax - A Differentiable Physics Engine for Large Scale Rigid Body Simulation,https://openreview.net/forum?id=VdvDlnnjzIN,"[7, 7, 6]",6.666666666666667,17
17,Revisiting Time Series Outlier Detection: Definitions and Benchmarks,https://openreview.net/forum?id=r8IvOsnHchr,"[7, 6, 7]",6.666666666666667,18
18,An Extensible Benchmark Suite for Learning to Simulate Physical Systems,https://openreview.net/forum?id=pY9MHwmrymR,"[8, 7, 7]",7.333333333333333,19
19,RadGraph: Extracting Clinical Entities and Relations from Radiology Reports,https://openreview.net/forum?id=pMWtc5NKd7V,"[9, 9, 9, 9]",9.0,20
20,The People’s Speech: A Large-Scale Diverse English Speech Recognition Dataset for Commercial Usage,https://openreview.net/forum?id=R8CwidgJ0yT,"[8, 5, 7]",6.666666666666667,21
21,Therapeutics Data Commons: Machine Learning Datasets and Tasks for Drug Discovery and Development,https://openreview.net/forum?id=8nvgnORnoWr,"[9, 8, 6]",7.666666666666667,22
22,MLPerf Tiny Benchmark,https://openreview.net/forum?id=8RxxwAut1BI,"[7, 6, 6]",6.333333333333333,23
23,ATOM3D: Tasks on Molecules in Three Dimensions,https://openreview.net/forum?id=FkDZLpK1Ml2,"[9, 9, 8]",8.666666666666666,24
24,A Large-Scale Database for Graph Representation Learning,https://openreview.net/forum?id=1xDTDk3XPW,"[7, 8, 9]",8.0,25
25,Teach Me to Explain: A Review of Datasets for Explainable Natural Language Processing,https://openreview.net/forum?id=ogNcxJn32BZ,"[6, 7, 9]",7.333333333333333,26
26,LiRo: Benchmark and leaderboard for Romanian language tasks,https://openreview.net/forum?id=JH61CD7afTv,"[7, 7, 8]",7.333333333333333,27
27,Benchmarking Bias Mitigation Algorithms in Representation Learning through Fairness Metrics,https://openreview.net/forum?id=OTnqQUEwPKu,"[7, 6, 7]",6.666666666666667,28
28,EEGEyeNet: a Simultaneous Electroencephalography and Eye-tracking Dataset and Benchmark for Eye Movement Prediction,https://openreview.net/forum?id=Nc2uduhU9qa,"[7, 10, 7]",8.0,29
29,VALUE: A Multi-Task Benchmark for Video-and-Language Understanding Evaluation,https://openreview.net/forum?id=9E3dTIMxL8S,"[8, 5, 7]",6.666666666666667,30
30,Reinforcement Learning Benchmarks for Traffic Signal Control,https://openreview.net/forum?id=LqRSh6V0vR,"[6, 7, 7, 8]",7.0,31
31,Q-Pain: A Question Answering Dataset to Measure Social Bias in Pain Management,https://openreview.net/forum?id=Ud1K-l71AI2,"[8, 8, 8]",8.0,32
32,Automatic Construction of Evaluation Suites for Natural Language Generation Datasets,https://openreview.net/forum?id=CSi1eu_2q96,"[7, 6, 9]",7.333333333333333,33
33,OmniPrint: A Configurable Printed Character Synthesizer,https://openreview.net/forum?id=R07XwJPmgpl,"[7, 6, 7]",6.666666666666667,34
34,It's COMPASlicated: The Messy Relationship between RAI Datasets and Algorithmic Fairness Benchmarks,https://openreview.net/forum?id=qeM58whnpXM,"[8, 9, 8]",8.333333333333334,35
35,CommonsenseQA 2.0: Exposing the Limits of AI through Gamification,https://openreview.net/forum?id=qF7FlUT5dxa,"[7, 7, 10]",8.0,36
36,FEVEROUS: Fact Extraction and VERification Over Unstructured and Structured information,https://openreview.net/forum?id=h-flVCIlstW,"[7, 8, 7]",7.333333333333333,37
37,A Unified Few-Shot Classification Benchmark to Compare Transfer and Meta Learning Approaches,https://openreview.net/forum?id=Q0hm0_G1mpH,"[8, 7, 7]",7.333333333333333,38
38,Physion: Evaluating Physical Prediction from Vision in Humans and Machines,https://openreview.net/forum?id=CXyZrKPz4CU,"[9, 7, 6]",7.333333333333333,39
39,"PROCAT: Product Catalogue Dataset for Implicit Clustering, Permutation Learning and Structure Prediction",https://openreview.net/forum?id=HQ-6VDYUxGn,"[4, 7, 5]",5.333333333333333,40
40,Personalized Benchmarking with the Ludwig Benchmarking Toolkit,https://openreview.net/forum?id=hwjnu6qW7E4,"[8, 5, 8]",7.0,41
41,EventNarrative: A Large-scale Event-centric Dataset for Knowledge Graph-to-Text Generation,https://openreview.net/forum?id=3ZQqjt_Q6b,"[7, 7, 7]",7.0,42
42,ThreeDWorld: A Platform for Interactive Multi-Modal Physical Simulation,https://openreview.net/forum?id=db1InWAwW2T,"[7, 9, 7]",7.666666666666667,43
43,The Neural MMO Platform for Massively Multiagent Research,https://openreview.net/forum?id=J0d-I8yFtP,"[6, 7, 8]",7.0,44
44,ARKitScenes: A Diverse Real-World Dataset For 3D Indoor Scene Understanding Using Mobile RGB-D Data,https://openreview.net/forum?id=tjZjv_qh_CE,"[6, 6, 4, 7]",5.75,45
45,TenSet: A Large-scale Program Performance Dataset for Learned Tensor Compilers,https://openreview.net/forum?id=aIfp8kLuvc9,"[7, 7, 8]",7.333333333333333,46
46,B-Pref: Benchmarking Preference-Based Reinforcement Learning,https://openreview.net/forum?id=ps95-mkHF_,"[7, 7, 8]",7.333333333333333,47
47,ReaSCAN: Compositional Reasoning in Language Grounding,https://openreview.net/forum?id=Rtquf4Jk0jN,"[8, 8, 5, 6]",6.75,48
48,Contemporary Symbolic Regression Methods and their Relative Performance,https://openreview.net/forum?id=xVQMrDLyGst,"[6, 6, 8]",6.666666666666667,49
49,CSAW-M: An Ordinal Classification Dataset for Benchmarking Mammographic Masking of Cancer,https://openreview.net/forum?id=nlJ1rV6G_Iq,"[7, 8, 8]",7.666666666666667,50
50,One Million Scenes for Autonomous Driving: ONCE Dataset,https://openreview.net/forum?id=KBbxt3JGn0Y,"[6, 7, 7]",6.666666666666667,51
51,NaturalProofs: Mathematical Theorem Proving in Natural Language,https://openreview.net/forum?id=Jvxa8adr3iY,"[8, 7, 8]",7.666666666666667,52
52,A Spoken Language Dataset of Descriptions for Speech-Based Grounded Language Learning,https://openreview.net/forum?id=Yx9jT3fkBaD,"[7, 7, 7]",7.0,53
53,A Procedural World Generation Framework for Systematic Evaluation of Continual Learning,https://openreview.net/forum?id=LlCQWh8-pwK,"[6, 8, 7]",7.0,54
54,BiToD: A Bilingual Multi-Domain Dataset For Task-Oriented Dialogue Modeling,https://openreview.net/forum?id=dA2Q8CfmGpp,"[5, 7, 7]",6.333333333333333,55
55,CodeXGLUE: A Machine Learning Benchmark Dataset for Code Understanding and Generation,https://openreview.net/forum?id=6lE4dQXaUcb,"[7, 7, 7]",7.0,56
56,Timers and Such: A Practical Benchmark for Spoken Language Understanding with Numbers,https://openreview.net/forum?id=HrhaC-bLC5U,"[7, 7, 6, 6]",6.5,57
57,CCNLab: A Benchmarking Framework for Computational Cognitive Neuroscience,https://openreview.net/forum?id=1vC5GFOXuhM,"[8, 9, 7]",8.0,58
58,MultiBench: Multiscale Benchmarks for Multimodal Representation Learning,https://openreview.net/forum?id=izzQAL8BciY,"[7, 6, 7]",6.666666666666667,59
59,ImageNet-21K Pretraining for the Masses,https://openreview.net/forum?id=Zkj_VcZ6ol,"[4, 7, 6]",5.666666666666667,60
60,Modeling Worlds in Text,https://openreview.net/forum?id=7FHnnENUG0,"[7, 7, 7]",7.0,61
61,MQBench: Towards Reproducible and Deployable Model Quantization Benchmark,https://openreview.net/forum?id=TUplOmF8DsM,"[6, 6, 6]",6.0,62
62,WildfireDB: An Open-Source Dataset Connecting Wildfire Occurrence with Relevant Determinants,https://openreview.net/forum?id=6nblryHxVbO,"[4, 7, 4]",5.0,63
63,Open Bandit Dataset and Pipeline: Towards Realistic and Reproducible Off-Policy Evaluation,https://openreview.net/forum?id=tyn3MYS_uDT,"[6, 6, 6]",6.0,64
64,"A Bilingual, OpenWorld Video Text Dataset and End-to-end Video Text Spotter with Transformer",https://openreview.net/forum?id=vzb0f0TIVlI,"[6, 6, 5, 7]",6.0,65
65,LoveDA: A Remote Sensing Land-Cover Dataset for Domain Adaptive Semantic Segmentation,https://openreview.net/forum?id=bLBIbVaGDu,"[6, 7, 6]",6.333333333333333,66
66,SynthBio: A Case Study in Faster Curation of Text Datasets,https://openreview.net/forum?id=Fkpr2RYDvI1,"[7, 7, 7, 7]",7.0,67
67,RAFT: A Real-World Few-Shot Text Classification Benchmark,https://openreview.net/forum?id=bgWHz41FMB7,"[5, 6, 6, 5]",5.5,68
68,Artsheets for Art Datasets,https://openreview.net/forum?id=K7ke_GZ_6N,"[7, 5, 7, 7]",6.5,69
69,Neural Latents Benchmark ‘21: Evaluating latent variable models of neural population activity,https://openreview.net/forum?id=KVMS3fl4Rsv,"[4, 7, 5, 7]",5.75,70
70,What Would Jiminy Cricket Do? Towards Agents That Behave Morally,https://openreview.net/forum?id=G1muTb5zuO7,"[8, 5, 6, 7]",6.5,71
71,RP-Mod & RP-Crowd: Moderator- and Crowd-Annotated German News Comment Datasets,https://openreview.net/forum?id=NfTU-wN8Uo,"[6, 6, 6, 6]",6.0,72
72,FS-Mol: A Few-Shot Learning Dataset of Molecules,https://openreview.net/forum?id=701FtuyLlAd,"[6, 7, 8, 7]",7.0,73
73,An Information Retrieval Approach to Building Datasets for Hate Speech Detection,https://openreview.net/forum?id=jI_BbL-qjJN,"[5, 8, 9, 7]",7.25,74
74,BEIR: A Heterogeneous Benchmark for Zero-shot Evaluation of Information Retrieval Models,https://openreview.net/forum?id=wCu6T5xFjeJ,"[5, 8, 8, 9]",7.5,75
75,Isaac Gym: High Performance GPU Based Physics Simulation For Robot Learning,https://openreview.net/forum?id=fgFBtYgJQX_,"[7, 8, 7]",7.333333333333333,76
76,Task Agnostic and Task Specific Self-Supervised Learning from Speech with LeBenchmark,https://openreview.net/forum?id=TSvj5dmuSd,"[7, 5, 7, 8]",6.75,77
77,ManiSkill: Generalizable Manipulation Skill Benchmark with Large-Scale Demonstrations,https://openreview.net/forum?id=zQIvkXHS_U5,"[7, 8, 7]",7.333333333333333,78
78,Benchmarking Data-driven Surrogate Simulators for Artificial Electromagnetic Materials,https://openreview.net/forum?id=-or413Lh_aF,"[6, 8, 8, 4]",6.5,79
79,ClimART: A Benchmark Dataset for Emulating Atmospheric Radiative Transfer in Weather and Climate Models,https://openreview.net/forum?id=FZBtIpEAb5J,"[6, 7, 7, 6]",6.5,80
80,URLB: Unsupervised Reinforcement Learning Benchmark,https://openreview.net/forum?id=lwrPkQP_is,"[6, 7, 6, 7, 7]",6.6,81
81,RELLISUR: A Real Low-Light Image Super-Resolution Dataset,https://openreview.net/forum?id=aqCD8RINP54,"[7, 7, 7, 5]",6.5,82
82,"Trust, but Verify: Cross-Modality Fusion for HD Map Change Detection",https://openreview.net/forum?id=cXCZnLjDm4s,"[7, 7, 6, 5]",6.25,83
83,"DENETHOR: The DynamicEarthNET dataset for Harmonized, inter-Operable, analysis-Ready, daily crop monitoring from space",https://openreview.net/forum?id=uUa4jNMLjrL,"[7, 7, 6, 6, 7]",6.6,84
84,What Ails One-Shot Image Segmentation: A Data Perspective,https://openreview.net/forum?id=BlcUQYxknbX,"[6, 7, 6]",6.333333333333333,85
85,SODA10M: A Large-Scale 2D Self/Semi-Supervised Object Detection Dataset for Autonomous Driving,https://openreview.net/forum?id=ByiVJWsHVKc,"[7, 4, 7, 6]",6.0,86
86,"A sandbox for prediction and integration of DNA, RNA, and proteins in single cells",https://openreview.net/forum?id=gN35BGa1Rt,"[7, 6, 8]",7.0,87
87,The Medkit-Learn(ing) Environment: Medical Decision Modelling through Simulation,https://openreview.net/forum?id=Ayf90B1yESX,"[7, 7, 8, 6]",7.0,88
88,Graph Robustness Benchmark: Benchmarking the Adversarial Robustness of Graph Machine Learning,https://openreview.net/forum?id=NxWUnvwFV4,"[7, 4, 7]",6.0,89
89,Really Doing Great at Estimating CATE? A Critical Look at ML Benchmarking Practices in Treatment Effect Estimation,https://openreview.net/forum?id=FQLzQqGEAH,"[5, 9, 4, 7]",6.25,90
90,The Met Dataset: Instance-level Recognition for Artworks,https://openreview.net/forum?id=fnuAjFL7MXy,"[7, 7, 6, 5]",6.25,91
91,Benchmarking the Robustness of Spatial-Temporal Models Against Corruptions,https://openreview.net/forum?id=MQlMIrm3Hv5,"[8, 3, 7, 6]",6.0,92
92,Chest ImaGenome Dataset for Clinical Reasoning,https://openreview.net/forum?id=H-d5634yVi,"[10, 10, 6, 8]",8.5,93
93,Mitigating dataset harms requires stewardship: Lessons from 1000 papers,https://openreview.net/forum?id=KGeAHDH4njY,"[8, 10, 10, 8]",9.0,94
94,Datasets for Online Controlled Experiments,https://openreview.net/forum?id=79shW3z5Eaq,"[6, 7, 7, 6]",6.5,95
95,OpenML Benchmarking Suites,https://openreview.net/forum?id=OCrD8ycKjG,"[6, 8, 5, 4]",5.75,96
96,Adversarial GLUE: A Multi-Task Benchmark for Robustness Evaluation of Language Models,https://openreview.net/forum?id=GF9cSKI3A_q,"[8, 8, 8]",8.0,97
97,Shifts: A Dataset of Real Distributional Shift Across Multiple Large-Scale Tasks,https://openreview.net/forum?id=qM45LHaWM6E,"[6, 5, 7, 7]",6.25,98
98,Monash Time Series Forecasting Archive,https://openreview.net/forum?id=wEc1mgAjU-,"[8, 6, 6]",6.666666666666667,99
99,Evaluating Bayes Error Estimators on Real-World Datasets with FeeBee,https://openreview.net/forum?id=uKv5inrWeld,"[6, 7, 7]",6.666666666666667,100
100,HPO-B: A Large-Scale Reproducible Benchmark for Black-Box HPO based on OpenML,https://openreview.net/forum?id=O24OhmqpJtP,"[6, 7, 8, 8, 6]",7.0,101
101,HPOBench: A Collection of Reproducible Multi-Fidelity Benchmark Problems for HPO,https://openreview.net/forum?id=1k4rJYEwda-,"[7, 7, 6, 7]",6.75,102
102,GraphGT: Machine Learning Datasets for Graph Generation and Transformation,https://openreview.net/forum?id=NYgt9vcdyjm,"[7, 6, 7, 7]",6.75,103
103,Dynamic Environments with Deformable Objects,https://openreview.net/forum?id=WcY35wjmCBA,"[7, 7, 7, 6]",6.75,104
104,CodeNet: A Large-Scale AI for Code Dataset for Learning a Diversity of Coding Tasks,https://openreview.net/forum?id=6vZVBkCDrHT,"[7, 7, 5, 8]",6.75,105
105,CREAK: A Dataset for Commonsense Reasoning over Entity Knowledge,https://openreview.net/forum?id=mbW_GT3ZN-,"[8, 7, 6]",7.0,106
106,Multilingual Spoken Words Corpus,https://openreview.net/forum?id=c20jiJ5K2H,"[8, 7, 7, 7]",7.25,107
107,Measuring Coding Challenge Competence With APPS,https://openreview.net/forum?id=sD93GOzH3i5,"[6, 6, 7, 7]",6.5,108
108,An Empirical Study of Graph Contrastive Learning,https://openreview.net/forum?id=UuUbIYnHKO,"[7, 4, 7, 7, 6]",6.2,109
109,Hardware Design and Accurate Simulation of Structured-Light Scanning for Benchmarking of 3D Reconstruction Algorithms,https://openreview.net/forum?id=bNL5VlTfe3p,"[6, 6, 6]",6.0,110
110,FakeAVCeleb: A Novel Audio-Video Multimodal Deepfake Dataset,https://openreview.net/forum?id=TAXFsg6ZaOl,"[6, 7, 6, 6]",6.25,111
111,IconQA: A New Benchmark for Abstract Diagram Understanding and Visual Language Reasoning,https://openreview.net/forum?id=uXa9oBDZ9V1,"[9, 6, 7]",7.333333333333333,112
112,WikiChurches: A Fine-Grained Dataset of Architectural Styles with Real-World Challenges,https://openreview.net/forum?id=QVeMBoRXAo_,"[5, 6, 8, 6]",6.25,113
113,Systematic Evaluation of Causal Discovery in Visual Model Based Reinforcement Learning,https://openreview.net/forum?id=gWIbXsrtOCc,"[6, 7, 7, 7]",6.75,114
114,An Empirical Investigation of Representation Learning for Imitation,https://openreview.net/forum?id=kBNhgqXatI,"[7, 6, 6, 6]",6.25,115
115,Alchemy: A benchmark and analysis toolkit for meta-reinforcement learning agents,https://openreview.net/forum?id=eZu4BZxlRnX,"[5, 7, 7]",6.333333333333333,116
116,SKM-TEA: A Dataset for Accelerated MRI Reconstruction with Dense Image Labels for Quantitative Clinical Evaluation,https://openreview.net/forum?id=YDMFgD_qJuA,"[6, 9, 6, 7]",7.0,117
117,Benchmarking Bayesian Deep Learning on Diabetic Retinopathy Detection Tasks,https://openreview.net/forum?id=jyd4Lyjr2iB,"[7, 7, 7]",7.0,118
118,FLIP: Benchmark tasks in fitness landscape inference for proteins,https://openreview.net/forum?id=p2dMLEwL8tF,"[7, 5, 7, 7]",6.5,119
119,Argoverse 2: Next Generation Datasets for Self-Driving Perception and Forecasting,https://openreview.net/forum?id=vKQGe36av4k,"[7, 7, 6, 7]",6.75,120
120,WRENCH: A Comprehensive Benchmark for Weak Supervision,https://openreview.net/forum?id=Q9SKS5k8io,"[6, 8, 9, 8]",7.75,121
121,STAR: A Benchmark for Situated Reasoning in Real-World Videos,https://openreview.net/forum?id=EfgNF5-ZAjM,"[5, 6, 6, 6]",5.75,122
122,Occluded Video Instance Segmentation: Dataset and ICCV 2021 Challenge,https://openreview.net/forum?id=IfzTefIU_3j,"[8, 7, 7]",7.333333333333333,123
123,The CLEAR Benchmark: Continual LEArning on Real-World Imagery,https://openreview.net/forum?id=43mYF598ZDB,"[6, 7, 5, 5]",5.75,124
124,Habitat-Matterport 3D Dataset (HM3D): 1000 Large-scale 3D Environments for Embodied AI,https://openreview.net/forum?id=-v4OuqNs5P,"[6, 8, 7]",7.0,125
125,A realistic approach to generate masked faces applied on two novel masked face recognition data sets,https://openreview.net/forum?id=hjsJraoqn1Y,"[8, 5, 6]",6.333333333333333,126
126,COVID-19 Sounds: A Large-Scale Audio Dataset for Digital Respiratory Screening,https://openreview.net/forum?id=9KArJb4r5ZQ,"[5, 8, 7, 4]",6.0,127
127,Pl@ntNet-300K: a plant image dataset with high label ambiguity and a long-tailed distribution,https://openreview.net/forum?id=eLYinD0TtIt,"[7, 6, 6, 5]",6.0,128
128,Intelligent Sight and Sound: A Chronic Cancer Facial Pain Dataset,https://openreview.net/forum?id=Y6sH0l4PExm,"[5, 6, 6, 7]",6.0,129
129,HumBugDB: A Large-scale Acoustic Mosquito Dataset,https://openreview.net/forum?id=vhjsBtq9OxO,"[9, 8, 8]",8.333333333333334,130
130,Constructing a Visual Dataset to Study the Effects of Spatial Apartheid in South Africa,https://openreview.net/forum?id=WV0waZz9dTF,"[7, 8, 4]",6.333333333333333,131
131,VFP290K: A Large-Scale Benchmark Dataset for Vision-based Fallen Person Detection,https://openreview.net/forum?id=y2AbfIXgBK3,"[7, 7, 5, 7]",6.5,132
132,SegmentMeIfYouCan: A Benchmark for Anomaly Segmentation,https://openreview.net/forum?id=OFiGmksrSz1,"[7, 6, 5, 6]",6.0,133
133,WaveFake: A Data Set to Facilitate Audio Deepfake Detection,https://openreview.net/forum?id=74TZg9gsO8W,"[7, 6, 7]",6.666666666666667,134
134,The Tufts fNIRS Mental Workload Dataset & Benchmark for Brain-Computer Interfaces that Generalize,https://openreview.net/forum?id=QzNHE7QHhut,"[6, 9, 7]",7.333333333333333,135
135,"The CPD Data Set: Personnel, Use of Force, and Complaints in the Chicago Police Department",https://openreview.net/forum?id=MAWgLrYvMs0,"[8, 8, 7]",7.666666666666667,136
136,DUE: End-to-End Document Understanding Benchmark,https://openreview.net/forum?id=rNs2FvJGDK,"[7, 7, 7, 6]",6.75,137
137,KeSpeech: An Open Source Speech Dataset of Mandarin and Its Eight Subdialects,https://openreview.net/forum?id=b3Zoeq2sCLq,"[7, 8, 7]",7.333333333333333,138
138,SciGen: a Dataset for Reasoning-Aware Text Generation from Scientific Tables,https://openreview.net/forum?id=Jul-uX7EV_I,"[7, 7, 7, 7]",7.0,139
139,Native Chinese Reader: A Dataset Towards Native-Level Chinese Machine Reading Comprehension,https://openreview.net/forum?id=GEcWUTN1v1v,"[5, 7, 8]",6.666666666666667,140
140,KLUE: Korean Language Understanding Evaluation,https://openreview.net/forum?id=q-8h8-LZiUm,"[7, 8, 6]",7.0,141
141,Relational Pattern Benchmarking on the Knowledge Graph Link Prediction Task,https://openreview.net/forum?id=Gln7zxMffae,"[7, 4, 6, 7]",6.0,142
142,Benchmarks for Corruption Invariant Person Re-identification,https://openreview.net/forum?id=zfMtM7HZGLT,"[7, 6, 6, 7]",6.5,143
143,Measuring Mathematical Problem Solving With the MATH Dataset,https://openreview.net/forum?id=7Bywt2mQsCe,"[8, 6, 9]",7.666666666666667,144
144,SustainBench: Benchmarks for Monitoring the Sustainable Development Goals with Machine Learning,https://openreview.net/forum?id=5HR3vCylqD,"[6, 5, 7, 7]",6.25,145
145,MIND dataset for diet planning and dietary healthcare with machine learning: Dataset creation using combinatorial optimization and controllable generation with domain experts,https://openreview.net/forum?id=woX9uagUQiE,"[6, 7, 7, 6]",6.5,146
146,A Channel Coding Benchmark for Meta-Learning,https://openreview.net/forum?id=DjzPaX8AT0z,"[7, 6, 5]",6.0,147
147,STEP: Segmenting and Tracking Every Pixel,https://openreview.net/forum?id=0uQIr4XA77f,"[9, 7, 5, 5]",6.5,148
148,AP-10K: A Benchmark for Animal Pose Estimation in the Wild,https://openreview.net/forum?id=rH8yliN6C83,"[7, 7, 7, 7]",7.0,149
149,Seasons in Drift: A Long Term Thermal Imaging Dataset for Studying Concept Drift,https://openreview.net/forum?id=LjjqegBNtPi,"[6, 6, 7]",6.333333333333333,150
150,CropHarvest: A global dataset for crop-type classification,https://openreview.net/forum?id=JtjzUXPEaCu,"[8, 8, 7]",7.666666666666667,151
151,ClevrTex: A Texture-Rich Benchmark for Unsupervised Multi-Object Segmentation,https://openreview.net/forum?id=J4Nl2qRMDrR,"[7, 7, 6]",6.666666666666667,152
152,"Reduced, Reused and Recycled: The Life of a  Dataset in Machine Learning Research",https://openreview.net/forum?id=zNQBIBKJRkd,"[10, 8, 8]",8.666666666666666,153
153,Are We Learning Yet? A Meta Review of Evaluation Failures Across Machine Learning,https://openreview.net/forum?id=mPducS1MsEK,"[7, 7, 6, 9]",7.25,154
154,Benchmarking Multimodal AutoML for Tabular Data with Text Fields,https://openreview.net/forum?id=Q0zOIaec8HF,"[6, 6, 6, 6]",6.0,155
155,Whole Brain Vessel Graphs: A Dataset and Benchmark for Graph Learning and Neuroscience,https://openreview.net/forum?id=jpwGODt2Av,"[6, 9, 8, 9]",8.0,156
156,AI and the Everything in the Whole Wide World Benchmark,https://openreview.net/forum?id=j6NxpQbREA1,"[6, 5, 7, 7, 7]",6.4,157
157,A Toolbox for Construction and Analysis of Speech Datasets,https://openreview.net/forum?id=oJ0oHQtAld,"[8, 6, 7]",7.0,158
158,RB2: Robotic Manipulation Benchmarking with a Twist,https://openreview.net/forum?id=e82_BlJL43M,"[7, 7, 5, 7]",6.5,159
159,NATURE: Natural Auxiliary Text Utterances for Realistic Spoken Language Evaluation,https://openreview.net/forum?id=XyDozX3_L4l,"[6, 6, 7]",6.333333333333333,160
160,FFA-IR: Towards an Explainable and Reliable Medical Report Generation Benchmark,https://openreview.net/forum?id=FgYTwJbjbf,"[7, 8, 9]",8.0,161
161,Chaos as an interpretable benchmark for forecasting and data-driven modelling,https://openreview.net/forum?id=enYjtbjYJrf,"[8, 8, 7, 6]",7.25,162
162,Synthetic Benchmarks for Scientific Research in Explainable Machine Learning,https://openreview.net/forum?id=R7vr14ffhF9,"[8, 6, 7]",7.0,163
163,CSFCube - A Test Collection of Computer Science Research Articles for Faceted Query by Example,https://openreview.net/forum?id=8Y50dBbmGU,"[4, 8, 7, 5]",6.0,164
164,DEBAGREEMENT: A comment-reply dataset for (dis)agreement detection in online debates,https://openreview.net/forum?id=udVUN__gFO,"[8, 7, 9, 7]",7.75,165
165,Benchmarking the Combinatorial Generalizability of Complex Query Answering on Knowledge Graphs,https://openreview.net/forum?id=pX4x8f6Km5T,"[6, 6, 6, 6]",6.0,166
166,Few-Shot Learning Evaluation in Natural Language Understanding,https://openreview.net/forum?id=VhIIQBm00VI,"[8, 7, 7, 6]",7.0,167
167,A Dataset for Answering Time-Sensitive Questions,https://openreview.net/forum?id=9-LSfSU74n-,"[6, 8, 7]",7.0,168
168,OGB-LSC: A Large-Scale Challenge for Machine Learning on Graphs,https://openreview.net/forum?id=qkcLxoC52kL,"[9, 8, 8]",8.333333333333334,169
169,RobustBench: a standardized adversarial robustness benchmark,https://openreview.net/forum?id=SSKZPJCt7B,"[8, 7, 7, 7]",7.25,170
170,Molecule3D: A Benchmark for Predicting 3D Geometries from Molecular Graphs,https://openreview.net/forum?id=m5rEiGxOGiL,"[6, 7, 6, 6]",6.25,171
